EQUIPAMENT;NOM_CARRER;NUM_CARRER_1;CODI_BARRI;CODI_POSTAL;TELEFON_NUM;LATITUD;LONGITUD;NIVELL_ESTR.
Hotel Amrey Sant Pau - HB-004046;Sant Antoni Maria Claret;173;35;8041;934335151;41414013;2177888;2
Hotel Amrey Sant Pau - HB-004046;Sant Antoni Maria Claret;173;35;8041;934335151;41414013;2177888;2
Hotel Sansi Pedralbes - HB-004086;Pearson;1;21;8034;932063880;41393699;2111575;4
Hotel Sansi Pedralbes - HB-004086;Pearson;1;21;8034;932063880;41393699;2111575;4
Hotel Silken Sant Gervasi - HB-004054;Sant Gervasi de Cassoles;26;25;8022;932531740;41404710;2138854;3
Hotel Silken Sant Gervasi - HB-004054;Sant Gervasi de Cassoles;26;25;8022;932531740;41404710;2138854;3
Hotel Attica21 Barcelona Mar - HB-004340;Provençals;10;35;8019;932665200;41405424;2212221;4
Hotel Attica21 Barcelona Mar - HB-004340;Provençals;10;35;8019;932665200;41405424;2212221;4
Abba Sants Hotel - HB-004078;Numància;32;18;8029;936003100;41382599;2140045;4
Abba Sants Hotel - HB-004078;Numància;32;18;8029;936003100;41382599;2140045;4
Euro Hotel Barcelona Diagonal Port - HB-004195;Lope de Vega;4;35;8005;932302000;41400680;2208842;4
Euro Hotel Barcelona Diagonal Port - HB-004195;Lope de Vega;4;35;8005;932302000;41400680;2208842;4
Hotel Garbí Mil·lenni - HB-004157;Sant Pau;14;1;8001;934414177;41376016;2166978;4
Hotel Garbí Mil·lenni - HB-004157;Sant Pau;14;1;8001;934414177;41376016;2166978;4
Hotel Viladomat - HB-004071;Viladomat;197;9;8015;932296565;41383696;2151861;3
Hotel Viladomat - HB-004071;Viladomat;197;9;8015;932296565;41383696;2151861;3
Hotel Front Maritim - HB-004149;Garcia Fària;69;69;8019;933034440;41404064;2214117;4
Hotel Front Maritim - HB-004149;Garcia Fària;69;69;8019;933034440;41404064;2214117;4
Hotel Barcelona Universal - HB-004114;Paral·lel;76;1;8001;935677447;41375188;2168322;4
Hotel Barcelona Universal - HB-004114;Paral·lel;76;1;8001;935677447;41375188;2168322;4
Hotel Catalonia La Pedrera - HB-004094;Còrsega;368;7;8037;932081919;41398721;2162401;4
